REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,adiastola,Maui,20.68575464,-156.0783637,Haleakala,NP,Kipahulu Valley,,C,8/7/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1546,26
KYK database,adiastola,Maui,20.68575464,-156.0783637,Haleakala,NP,Kipahulu Valley,,C,8/23/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1549,31
"Montgomery, 1975",adiastola,Maui,20.68575464,-156.0783637,Haleakala,NP,Kipahulu,2500,,8/19/67,1967,N,,,1,1,,ex Clermontia stems,,,adiastola,adiastola,,,,,,,,,,,,442,29
"Montgomery, 1975",adiastola,Maui,20.68796803,-156.1231317,Kipahulu,FR,Manawainui,4800,,4/18/71,1971,N,P91,,,9,,ex Clermontia stems,,,adiastola,adiastola,,,,,,,,,,,,444,52
"Montgomery, 1975",adiastola,Maui,20.69583956,-156.0848923,Haleakala,NP,Kipahulu,3100,,8/19/67,1967,N,,1,1,2,,ex Clermontia stems,,,adiastola,adiastola,,,,,,,,,,,,443,30
KYK database,adiastola,Maui,20.70936,-156.1087,Haleakala,NP,Kipahulu Valley,,,8/17/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1547,27
KYK database,adiastola,Maui,20.70936,-156.1087,Haleakala,NP,Kipahulu Valley,,,8/18/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1548,28
KYK database,adiastola,Maui,20.70946,-156.03095,Hana,FR,Waihoi Valley,,,6/10/72,1972,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1574,60
"Montgomery, 1975",adiastola,Maui,20.71184854,-156.041752,Hana,FR,Waihoi,2200,,7/18/72,1972,N,R33,,,56,,ex Clermontia bark,,,adiastola,adiastola,,,,,,,,,,,,441,61
KYK database,adiastola,Maui,20.71788698,-156.1413002,Haleakala,NP,"Paliku, Haleakala",,,7/19/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1544,24
BPBM,adiastola,Maui,20.71934,-156.10267,Haleakala,NP,lower Kipahulu Valley,1250 m,,3/27/83,1983,N,2007022538,1,,1,F.G. Howarth,malaise trap,in undetermined,,adiastola,adiastola,,,,,,,,,,,,3879,76
UHH,adiastola,Maui,20.73470305,-156.0657917,Hana,FR,Waihoi rim,4300,A,5/24/11,2011,Y,m0393-05,,4,4,KNM,on bait sponge,,,adiastola,adiastola,,Waihoi Rim E,4,Q,805585.1503,2295558.927,20.73470305,-156.0657917,1713,28,38,3839,111
UHH,adiastola,Maui,20.73591859,-156.0669656,Hana,FR,Waihoi rim,4300,A,5/24/11,2011,Y,m0395-03,,2,2,KNM,on bait sponge,,,adiastola,adiastola,,Waihoi Rim W2,4,Q,805460.3718,2295691.363,20.73591859,-156.0669656,1742,29,5,3840,112
UHH,adiastola,Maui,20.78684611,-156.2260431,Waikamoi,TNC,FBS transect 3,5550-5800,A,6/3/09,2009,Y,m0017-01,,1,1,KNM,under leaves,,,adiastola,adiastola,,CLERTUBTR3A,4,Q,788786.339,2301039.921,20.78684611,-156.2260431,93,2,31,13,104
UHH,adiastola,Maui,20.80208,-156.25465,Waikamoi,TNC,Maile Trail,4600,A,6/1/09,2009,Y,m0009-04,1,1,2,KNM,at bait sponge,,,adiastola,adiastola,,MAILE TR,4,Q,785778,2302677,20.80208,-156.25465,44,1,44,6,103
Price/Yew/Medeiros,adiastola,Maui,20.80245,-156.25522,Waikamoi,,,,,10-Jan-20,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
UHH,adiastola,Maui,20.80253393,-156.2542143,EMI,private,Waikamoi fence,4500,A,12/22/10,2010,Y,m0364-03,,3,3,KNM,on bait sponge,,,adiastola,adiastola,,,4,Q,785822.2483,2302727.392,20.80253393,-156.2542143,1578,26,28,344,108
UHH,adiastola,Maui,20.80948832,-156.2243748,EMI,private,Waikamoi flume,4300,A,12/21/10,2010,Y,m0362-04,,2,2,KNM,on bait sponge,,,adiastola,adiastola,,Heed Center,4,Q,787088.1568,2303718.724,20.811286,-156.241901,1533,25,45,334,106
BPBM,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/29/66,1966,N,G39A,,,9,Heed,ex Clermontia branch,,,adiastola,adiastola,,,,,,,,,,,,3887,14
"Heed, 1968",adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4000,B,11/30/71,1971,N,G41,33,25,58,,ex Clermontia stems,,,adiastola,adiastola,,,,,,,,,,,,445,56
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/30/65,1965,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1531,10
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/1/65,1965,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1532,11
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,11/11/65,1965,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1533,12
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/8/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1535,15
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/8/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1538,18
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/8/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1541,21
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,6/27/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1542,22
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/8/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1543,23
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/29/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1545,25
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/12/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1550,32
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/12/67,1967,N,,,,,,,,,adiastola,adiastola,y,,,,,,,,,,,1551,33
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,12/10/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1553,35
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/10/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1554,36
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/10/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1555,37
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/2/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1556,38
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,5/10/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1558,40
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,6/28/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1559,41
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/29/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1560,42
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/7/69,1969,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1561,43
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,6/12/69,1969,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1562,44
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/24/69,1969,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1565,47
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/29/70,1970,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1566,48
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/22/71,1971,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1570,54
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/9/71,1971,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1571,55
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/26/72,1972,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1575,62
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/3/73,1973,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1577,64
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,5/8/74,1974,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1580,67
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/2/76,1976,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1581,68
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,5/22/78,1978,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1582,69
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/8/79,1979,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1584,71
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/8/79,1979,N,,,,,,,,,adiastola,adiastola,y,,,,,,,,,,,1585,72
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/27/79,1979,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1586,73
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/25/79,1979,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1587,74
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/27/81,1981,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1588,75
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/12/83,1983,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1589,77
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/3/83,1983,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1591,79
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/30/85,1985,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1592,80
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/2/86,1986,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1593,81
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/31/88,1988,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1596,84
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/6/89,1989,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1598,86
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,6/8/90,1990,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1599,87
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,11/20/90,1990,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1600,88
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/6/91,1991,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1601,89
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,12/5/95,1995,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1603,91
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/14/96,1996,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1604,92
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,2/12/97,1997,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1605,93
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/3/97,1997,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1606,94
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/23/98,1998,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1609,97
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/26/99,1999,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1610,98
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,7/6/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1537,17
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,6/22/95,1995,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1602,90
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,7/7/97,1997,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1607,95
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,3/18/99,1999,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1611,99
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,6/2/99,1999,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1612,100
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,7/22/99,1999,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1613,101
KYK database,adiastola,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Murphy/Kaneshiro Trail, Dry Site",,B,11/11/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1552,34
Price/Yew/Medeiros,adiastola,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,19-Jan-21,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
Price/Yew/Medeiros,adiastola,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,20-Jan-21,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
Price/Yew/Medeiros,adiastola,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,20-Jan-21,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
Price/Yew/Medeiros,adiastola,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,21-Jan-21,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
Price/Yew/Medeiros,adiastola,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,21-Jan-21,,,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,,
