raw_name,matched_species
M09244_Bunanom,
M09245_Exacali,
M09120_Elmcyrt,
M09233_Scanigs,
M09016_Elmunkn,
M09232_Scascop,
M09128_Scalonc,
M09234_Scachau,
M09015_Griundu,
M09125_EngnasE,
M09121_Engampl,
M09123_Enginfl,
M09014_Engredu,
M09124_EngcraE,
M09222_Droikix,D. iki
M09224_Dromell,D. melanoloma
M09225_Droochp,D. ochropleura
M09223_Droinsi,D. insignita
M09067_Droadun,D. adunca
M09068_Drodiam,D. diamphidiopoda
M09073_Droancy,D. ancyla
M09074_Drovara,D. variabilis
M09075_Droatro,D. atroscutellata
M09071_Dromedl,D. medialis
M09076_Droneut,D. neutralis
M09077_Drosord,D. sordidapex
M09065_Droexp1,D. nr. expansa #1
M09066_Droper4,D. nr. perissopoda #4
M09072_Drosp4c,D. sp. 4
M09069_Drobruf,D. brunneifrons
M09070_Droimpa,D. imparisetae
M09115_DroquaE,D. quasiexpansa
M09230_Drolgsp,D. n. sp. large spots
M09226_Drolari,D. larifuga
M09229_Dronane,D. nanella
M09227_Drohrta,D. hirtitarsus
M09228_Dronroc,D. nigrocirrus
M09231_Droadve,D. adventitia
M09157_Droprim,D. primaeva
M09183_Drotrun,D. truncipenna
M09084_Dropaen,D. paenehamifera
M09182_Drohami,D. hamifera
M09181_Droclav,D. clavisetae
M09083_Droadia,D. adiastola
M09217_Drocilr,D. cilifera
M09218_Droochb,D. ochrobasis
M09219_Drosetm,D. setosimentum
M09153_Dropict,D. picticornis
M09105_Dropilp,D. pilipa
M09243_Droseto,D. setosifrons
M09197_Drolauo,D. lauoho
M09198_Dropoha,D. pohaka
M09191_Drohrti,D. hirtitibia
M09221_Dropapl,D. papala
M09195_Drokuha,D. kuhao
M09192_Dropapa,D. papaalai
M09193_Droexim,D. eximia
M09194_Dropano,D. panoanoa
M09081_Droanom,D. anomalipes
M09082_Droquaa,D. quasianomalipes
M09188_Droplan,D. planitibia
M09129_Drosils,D. silvestris
M09190_Drohete,D. heteroneura
M09247_Dronigb,D. nigribasis
M09187_DronepM,D. neopicta
M09248_Drosubs,D. substenoptera
M09246_Drooahu,D. oahuensis
M09149_Drohana,D. hanaulae
M09186_Dronepe,D. neoperkinsi
M09185_Dromelc,D. melanocephala
M09148_Drocyrt,D. cyrtoloma
M09150_Droinge,D. ingens
M09043_Dromicr,D. micromyia
M09006_Dropuna,D. punalua
M09092_Drodisu,D. distinguenda
M09215_Drodiva,D. divaricata
M09034_Droined,D. inedita
M09063_Dropros,D. prostopalpis
M09090_Dropaup,D. paucipuncta
M09004_Drobass,D. basisetae
M09091_Droprol,D. prolaticilia
M09085_Drocons,D. conspicua
M09095_Drokiki,D. kikiko
M09249_Droals1,D. nr. alsophila
M09210_Dropilm,D. pilimana
M09033_Droglab,D. glabriapex
M09167_DrodisE,D. discreta
M09235_Droline,D. lineosetae
M09169_DrofasM,D. fasciculisetae Ma
M09008_Drofasc,D. fasciculisetae Mo
M09042_Drohexa,D. hexachaetae
M09044_Dromoli,D. moli
M09045_Drodigr,D. digressa
M09146_DrolanL,D. lanaiensis
M09094_Dromacr,D. macrothrix
M09161_Droorea,D. oreas
M09170_DroodoM,D. odontophallus Mo
M09172_DroodoE,D. odontophallus Ma
M09093_Droambo,D. ambochila
M09102_Drovesc,D. vesciseta
M09101_Dromont,D. montgomeryi
M09239_Dropihu,D. pihulu
M09156_Droflex,D. flexipes
M09035_Droform,D. formella
M09088_Dromusp,D. musaphilia
M09089_Drosilr,D. silvarentis
M09037_Drohawa,D. hawaiiensis
M09036_Drograd,D. gradata
M09038_Drorect,D. recticilia
M09039_Droturb,D. turbata
M09099_Drobali,D. balioptera
M09052_DrocruO,D. crucigera
M09163_Drobost,D. bostrycha
M09049_Droaffi,D. affinidisjuncta
M09053_Drodisj,D. disjuncta
M09050_DrocraK,D. craddockae
M09086_Dropull,D. pullipes
M09165_DrogriM,D. grimshawi Mo
M09166_DrogriE,D. grimshawi Ma
M09096_Droengy,D. engyochracea
M09002_Droseju,D. sejuncta
M09175_DrosodM,D. sodomae
M09213_Droobat,D. obatai
M09159_Droclay,D. claytonae
M09061_Droocha,D. ochracea
M09207_DrolimM,D. limitata
M09214_Drosobr,D. sobrina
M09056_Drocili,D. ciliaticrus
M09237_DroortW,D. orthofascia
M09003_Drovilp,D. villosipedis
M09062_Drospro,D. sproati
M09059_Dromurp,D. murphyi
M09079_Droorph,D. orphnopeza Ma
M09177_DroorpM,D. orphnopeza Mo
